Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,469,0,44,57.46839680140024,14.993100019637495,629.1476999758743,397679.0,3.936889435014039,0.0,44,60,67,75,100,130,190,300,630,630,630
GET,/codegame/index.html,111,0,35,43.73352702545539,12.418700032867491,141.67439995799214,8205.0,0.9317584803551351,0.0,35,47,57,64,82,100,130,130,140,140,140
GET,/colors/colors_picker.asp,107,0,37,52.351058876385615,15.192099963314831,333.39689997956157,371760.0,0.8981815981801752,0.0,37,52,63,69,98,120,170,330,330,330,330
GET,/css/,350,0,41,55.05686685742278,15.256399987265468,529.173799965065,361022.0,2.937977190308984,0.0,42,56,68,76,100,120,200,250,530,530,530
GET,/html/,376,0,40,55.5165385645678,15.111699991393834,630.4537000251003,357158.0,3.1562269244462233,0.0,40,52,61,70,94,130,250,310,630,630,630
GET,/js/,232,0,41,52.50684396365802,14.371400000527501,341.01060003740713,360069.0,1.9474591661476697,0.0,41,54,64,71,99,120,160,210,340,340,340
GET,/tryit/trycompiler.asp?filename=demo_python,120,0,32,45.064555835657906,13.750499987509102,274.53689998947084,37350.0,1.0073064652487946,0.0,32,43,53,65,87,130,180,230,270,270,270
,Aggregated,1765,0,40,53.90488345590855,12.418700032867491,630.4537000251003,326270.61869688384,14.815799259701022,0.0,40,54,64,72,97,120,190,280,630,630,630
