Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,116,0,34,41.69941207108987,16.739599988795817,126.90710002789274,397679.0,0.9826317088481633,0.0,35,41,49,53,66,110,110,120,130,130,130
GET,/codegame/index.html,26,0,25,28.579803853062913,17.007799993734807,69.77329996880144,8205.0,0.22024503819010557,0.0,25,29,31,31,42,53,70,70,70,70,70
GET,/colors/colors_picker.asp,29,0,33,39.14227586536636,19.58659995580092,76.84799999697134,371760.0,0.24565792721204083,0.0,33,45,48,53,72,75,77,77,77,77,77
GET,/css/,64,0,33,37.088985934133234,17.629000009037554,90.59109998634085,361022.0,0.5421416324679522,0.0,37,41,44,47,55,67,71,91,91,91,91
GET,/html/,78,0,33,39.58479871522659,17.300400009844452,155.4177000070922,357158.0,0.6607351145703168,0.0,35,38,42,45,64,88,130,160,160,160,160
GET,/js/,54,0,32,38.0980777715902,20.07299999240786,130.137600004673,360069.0,0.45743200239483467,0.0,32,38,40,46,63,74,85,130,130,130,130
GET,/tryit/trycompiler.asp?filename=demo_python,24,0,32,36.84736250337058,18.355099949985743,68.49820003844798,37350.0,0.20330311217548208,0.0,35,38,47,49,59,68,68,68,68,68,68
,Aggregated,391,0,33,38.66566496122928,16.739599988795817,155.4177000070922,328462.89514066494,3.3121465358588953,0.0,33,39,44,48,60,75,110,130,160,160,160
