Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,2384,2272,53,109.3130602765074,10.204699996393174,3097.5947999977507,19036.476510067114,20.08481731343657,19.14123529199995,53,57,62,65,81,160,1100,1100,3100,3100,3100
GET,/codegame/index.html,596,570,53,114.45174513346807,10.517300048377365,3079.5318000018597,738.5738255033557,5.0212043283591425,4.802158501954213,53,57,60,63,84,1100,1100,1100,3100,3100,3100
GET,/colors/colors_picker.asp,568,530,54,113.44085228781078,10.2259999839589,3086.500600038562,25251.038732394365,4.785308822999988,4.4651649228697075,54,58,64,68,84,310,1100,1100,3100,3100,3100
GET,/css/,1685,1613,54,127.90249816068788,10.05420001456514,21101.189000008162,15789.039762611275,14.195854518934823,13.589266076582712,54,58,62,66,83,1100,1100,1100,3100,21000,21000
GET,/html/,1690,1593,53,101.94159153843376,9.626599960029125,3093.453799956478,20857.79053254438,14.237978716320386,13.420769287040459,53,57,60,64,80,120,1100,1100,3100,3100,3100
GET,/js/,1181,1126,53,112.55925664654362,10.556799999903888,3077.7598000131547,17129.06265876376,9.949735422470045,9.486369251228849,53,58,62,66,79,1000,1100,1100,3100,3100,3100
GET,/tryit/trycompiler.asp?filename=demo_python,578,553,53,109.53708788944782,10.462000034749508,3070.038800011389,2002.9671280276816,4.869557217771114,4.658936230843298,53,58,62,65,78,110,1100,1100,3100,3100,3100
,Aggregated,8682,8257,53,112.56529577270193,9.626599960029125,21101.189000008162,16517.7466021654,73.14445634029207,69.5638995625192,53,58,62,65,81,260,1100,1100,3100,21000,21000
